procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0    676      0    593    0    0 222008     0    0  855 66 20  6  8  0  0 2025-12-22 10:51:12
 1  0      0    492      0    328    0    0    44     0    0  202 69 25  6  0  0  0 2025-12-22 10:51:13
 1  0      0    492      0    328    0    0     0     0    0   66 91  0  9  0  0  0 2025-12-22 10:51:14
 1  0      0    492      0    328    0    0   508     0    0  111 91  0  9  0  0  0 2025-12-22 10:51:15
 1  0      0    492      0    328    0    0     0     0    0   69 91  0  9  0  0  0 2025-12-22 10:51:16
 1  0      0    492      0    328    0    0     0     0    0   64 91  0  9  0  0  0 2025-12-22 10:51:17
 1  0      0   1429      0    328    0    0   116     0    0  629 88  3  9  0  0  0 2025-12-22 10:51:18
 1  0      0   1429      0    328    0    0     0     0    0 1126 91  0  9  0  0  0 2025-12-22 10:51:19
 1  0      0   1429      0    328    0    0     0     0    0  856 91  0  9  0  0  0 2025-12-22 10:51:20
 1  0      0   1429      0    329    0    0   552     0    0 1148 92  0  8  0  0  0 2025-12-22 10:51:21
 1  0      0   1431      0    329    0    0     0     0    0  585 91  0  9  0  0  0 2025-12-22 10:51:22
 1  0      0   1431      0    329    0    0     0     4    0  591 90  1  9  0  0  0 2025-12-22 10:51:23
 1  0      0   1431      0    329    0    0     0     0    0 1121 91  0  9  0  0  0 2025-12-22 10:51:24
 1  0      0   1431      0    329    0    0     0     0    0  875 91  0  9  0  0  0 2025-12-22 10:51:25
 1  0      0   1431      0    336    0    0  7104     0    0  925 89  1  9  1  0  0 2025-12-22 10:51:26
 1  0      0   1431      0    337    0    0  1468     0    0  775 90  1  9  0  0  0 2025-12-22 10:51:27
 1  0      0   1431      0    337    0    0     0     0    0  594 91  0  9  0  0  0 2025-12-22 10:51:28
 1  0      0   1428      0    343    0    0  5604     0    0 1819 90  1  9  0  0  0 2025-12-22 10:51:29
 1  0      0   1428      0    343    0    0     0     0    0 1381 91  0  9  0  0  0 2025-12-22 10:51:30
 1  0      0   1408      0    349    0    0  6708     0    0 2362 89  4  7  0  0  0 2025-12-22 10:51:31
 1  0      0   1408      0    350    0    0   376     0    0 1178 91  0  9  0  0  0 2025-12-22 10:51:32
 1  0      0   1416      0    350    0    0     0     0    0 1121 90  1  9  0  0  0 2025-12-22 10:51:33
 1  0      0   1416      0    350    0    0     0    20    0   78 91  0  9  0  0  0 2025-12-22 10:51:34
 1  0      0   1416      0    350    0    0     0     0    0  117 91  0  9  0  0  0 2025-12-22 10:51:35
 1  0      0   1416      0    350    0    0     0     0    0   96 91  0  9  0  0  0 2025-12-22 10:51:36
 1  0      0   1416      0    350    0    0     0     0    0  437 90  1  9  0  0  0 2025-12-22 10:51:37
 1  0      0   1416      0    350    0    0     0     0    0 1384 91  0  9  0  0  0 2025-12-22 10:51:38
 1  0      0   1416      0    351    0    0  1464     8    0 1301 91  0  9  0  0  0 2025-12-22 10:51:39
 1  0      0   1416      0    351    0    0     0     0    0 1685 91  0  9  0  0  0 2025-12-22 10:51:40
 1  0      0   1416      0    351    0    0     0     0    0 1379 91  0  9  0  0  0 2025-12-22 10:51:41
 1  0      0   1416      0    351    0    0     0     0    0 1411 91  0  9  0  0  0 2025-12-22 10:51:42
 1  0      0   1420      0    351    0    0     0     0    0 1693 90  1  9  0  0  0 2025-12-22 10:51:43
 1  0      0   1420      0    351    0    0     0     0    0 1129 91  0  9  0  0  0 2025-12-22 10:51:44
 1  0      0   1420      0    351    0    0     0     0    0 1137 91  0  9  0  0  0 2025-12-22 10:51:45
 1  0      0   1420      0    351    0    0     0     0    0 1656 91  0  9  0  0  0 2025-12-22 10:51:46
 1  0      0   1420      0    351    0    0     0     0    0 1167 91  0  9  0  0  0 2025-12-22 10:51:47
 1  0      0   1420      0    351    0    0     0     0    0 1122 91  0  9  0  0  0 2025-12-22 10:51:48
 1  0      0   1420      0    351    0    0     0     0    0 1653 91  0  9  0  0  0 2025-12-22 10:51:49
 1  0      0   1420      0    351    0    0     0     0    0 1119 91  0  9  0  0  0 2025-12-22 10:51:50
 1  0      0   1417      0    351    0    0     0     0    0 1391 90  2  8  0  0  0 2025-12-22 10:51:51
 1  0      0   1417      0    351    0    0     0     0    0  170 91  0  9  0  0  0 2025-12-22 10:51:52
 1  0      0   1417      0    351    0    0     0     0    0   91 91  0  9  0  0  0 2025-12-22 10:51:53
 1  0      0    740      0    574    0    0 228636     0    0  397 68 17  6  9  0  0 2025-12-22 10:51:54
 1  0      0    496      0    365    0    0     0    40    0 1573 74 19  7  0  0  0 2025-12-22 10:51:55
 1  0      0    496      0    365    0    0     4     0    0 1401 91  0  9  0  0  0 2025-12-22 10:51:56
 1  0      0    496      0    365    0    0   160     0    0 1518 91  0  9  0  0  0 2025-12-22 10:51:57
 1  0      0    494      0    365    0    0     8     0    0 1389 91  0  9  0  0  0 2025-12-22 10:51:58
 1  0      0   1348      0    365    0    0     0     0    0 1698 88  3  9  0  0  0 2025-12-22 10:51:59
 1  0      0   1348      0    365    0    0     0     0    0 1119 91  0  9  0  0  0 2025-12-22 10:52:00
 1  0      0   1348      0    366    0    0   320     0    0 1687 91  0  9  0  0  0 2025-12-22 10:52:01
 1  0      0   1348      0    366    0    0     0     0    0 1142 91  0  9  0  0  0 2025-12-22 10:52:02
 1  0      0   1346      0    366    0    0     0     0    0 1125 91  0  9  0  0  0 2025-12-22 10:52:03
 1  0      0   1346      0    366    0    0     0     0    0  626 91  0  9  0  0  0 2025-12-22 10:52:04
 1  0      0   1346      0    366    0    0   740     0    0 1162 90  1  9  0  0  0 2025-12-22 10:52:05
 1  0      0   1346      0    366    0    0     0     0    0 1653 91  0  9  0  0  0 2025-12-22 10:52:06
 1  0      0   1346      0    366    0    0     4     0    0 1162 91  0  9  0  0  0 2025-12-22 10:52:07
